run_id,particle,file_path,tree_name,energy_col,test_size,random_state,learning_rate,n_estimators,num_leaves,max_depth,reg_alpha,reg_lambda,min_child_samples,subsample,colsample_bytree,grid_search
1,kaon,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,False
2,kaon,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,False
3,kaon,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,True
4,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
5,kaon,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,False
6,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,1,50
7,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,1,50
8,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,1,50
9,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,1,50
10,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,1,50
11,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
12,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
13,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
14,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
15,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
16,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
17,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
18,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
19,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
20,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
21,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
22,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
23,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
24,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
25,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
26,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,100
27,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,100
28,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,100
29,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
30,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
31,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2500,127,-1,0.0,0.3,40,0.8,0.9,0,50
32,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2500,127,-1,0.0,0.3,40,0.8,0.9,0,50
33,kaon,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
34,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.03,4000,255,-1,0.0,0.4,30,0.9,0.9,0,50
35,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2500,63,-1,0.1,0.4,30,0.9,0.7,0,50
36,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
37,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
38,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
39,kaon,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
40,kaon,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
41,kaon,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
42,kaon,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
43,kaon,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
44,kaon,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_kaon_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
