run_id,particle,file_path,tree_name,energy_col,test_size,random_state,learning_rate,n_estimators,num_leaves,max_depth,reg_alpha,reg_lambda,min_child_samples,subsample,colsample_bytree,grid_search
1,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,False
2,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,False
3,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,True
4,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,True
5,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,True
6,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,0,50
7,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,False
8,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,False
9,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,False
10,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
11,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
12,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
13,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
14,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
15,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
16,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
17,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
18,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
19,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
20,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
21,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,paramsTree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
22,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/130k_pi_E1to130_params_merged.root,tree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
23,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/200k_pi-_1-130_params_merged.root,tree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
24,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/200k_pi-_1-130_params_merged.root,tree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
25,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/200k_pi-_1-130_params_merged.root,tree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
26,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/200k_pi-_1-130_params_merged.root,tree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
27,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/200k_pi-_1-130_params_merged.root,tree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
28,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/200k_pi-_1-130_params_merged.root,tree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
29,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/200k_pi-_1-130_params_merged.root,tree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
30,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/200k_pi-_1-130_params_merged.root,tree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
31,pi,/gridgroup/ilc/midir/analyse/data/merged_primaryEnergy/200k_pi-_1-130_params_merged.root,tree,primaryEnergy,0.2,42,0.05,2000,127,-1,0.0,0.1,20,0.8,0.8,50,False
