feature,perm_importance
sumThrTotal,0.7859705164983875
Zbary,0.05200058120258061
Density,0.041559947344436944
N3,0.04134114987117053
nHitsTotal,0.018945611021182175
Zrms,0.014034236991380965
N1,0.005550092944813534
eccentricity3D,0.005027204031929566
AvgClustSize,0.0027047415049252345
tMin,0.0020265603704572865
Nmax,0.0016849048463891902
MaxClustSize,0.0015168345072624101
PctHitsFirst10,0.000831711459915152
tMean,0.0007477164804264525
Thr3,0.0006977248480121046
PlanesWithClusmore2,0.0004742647291402835
Begin,0.00044096625267429077
lambda2,0.00041373197671821236
NClusters,0.00040526400291687195
N2,0.0003030738176763026
Xmax,0.000264536174787966
z0_fit,0.00018451394497320805
lambda1,0.0001822380635956744
tMax,0.00014728074280351278
Radius,0.00011490711077322135
tSpread,7.609550106841833e-05
Thr1,1.4307186424078466e-05
lambda,1.1250906429838281e-05
nTrackSegments,3.79084093183879e-06
ratioThr23,-9.97704916190223e-06
Thr2,-3.5538031629200884e-05
