feature,perm_importance
tMin,0.7678897640134078
sumThrTotal,0.5016815549211053
nHitsTotal,0.023695762940385612
N1,0.020329962895968178
Density,0.012049626225235532
N3,0.008310310381020891
Zbary,0.00448085886109304
AvgClustSize,0.002060401753267815
Zrms,0.001389867942604639
N2,0.0008082712444320572
Nmax,0.0007275363936573686
Thr2,0.0006061303672671881
NClusters,0.0005552465488897873
MaxClustSize,0.00045475740426795805
PctHitsFirst10,0.0004324993495865015
PlanesWithClusmore2,0.0002821637142718547
tMean,0.00020444332321917225
Begin,0.0002024707894191957
lambda2,0.00017472854647939683
eccentricity3D,0.00016442833840385473
Thr3,0.00014374307342569504
lambda1,0.00012543899694580362
Radius,0.00010599155819092098
tMax,8.802815937390962e-05
z0_fit,7.556067241526465e-05
Thr1,5.810490554720715e-05
ratioThr23,5.1130560263190625e-05
Xmax,4.947812450790678e-05
tSpread,4.839928830199236e-05
nTrackSegments,6.7416921426755035e-06
lambda,4.0516604101759055e-07
