feature,importance
tMin,3821.0
Density,2092.0
reconstructedCosTheta,1995.0
propLastLayers,1768.0
meanRadius,1726.0
AvgClustSize,1604.0
lambda2,1533.0
Zbary,1529.0
lambda1,1475.0
Zrms,1467.0
eccentricity3D,1456.0
tMean,1362.0
Radius,1358.0
first5LayersRMS,1332.0
tMax,1296.0
transverseRatio,1254.0
nMipCluster,1240.0
sumThrTotal,1233.0
Thr2,1197.0
Thr3,1194.0
Nmax,1134.0
MaxClustSize,1088.0
density,1074.0
PctHitsFirst10,1015.0
nHough1,1013.0
ntracksClusterSize,988.0
Thr1,948.0
Xmax,944.0
nHough,929.0
PlanesWithClusmore2,887.0
nHit3Custom,829.0
begin,800.0
nCluster,799.0
nHit2Custom,763.0
nHough2,745.0
Begin,741.0
nhitDensity,639.0
nInteractingLayer,617.0
end,587.0
nHit1Custom,465.0
z0_fit,456.0
nLayer,452.0
ratioThr23,444.0
nHough3,367.0
tSpread,349.0
NClusters,197.0
N3,164.0
nTrack,162.0
N2,142.0
nHitCustom,135.0
nTrackSegments,129.0
N1,112.0
lambda,69.0
ntracksClusterNumber,30.0
nHitsTotal,19.0
nlongiProfile,0.0
nradiProfile,0.0
