feature,perm_importance
tMin,0.6108256989331291
sumThrTotal,0.5701355696328854
nHitsTotal,0.0347061109313916
N1,0.028731512332399255
Density,0.00881488818030004
Zbary,0.0046820226502833125
N3,0.001697718837270512
PlanesWithClusmore2,0.0012861076605280575
Zrms,0.0012229731778106822
AvgClustSize,0.0012032027068877072
N2,0.0007957929275625331
PctHitsFirst10,0.0007191976434575808
MaxClustSize,0.0005016252182803438
NClusters,0.00040857060630493657
Nmax,0.00038284983485051825
eccentricity3D,0.00020138765395714132
Thr2,0.00019282171719301467
tMean,0.00017382568995805148
lambda2,0.00015349802318549434
tMax,8.351530725959621e-05
Xmax,7.93070997451073e-05
Begin,7.507240780830759e-05
Thr1,6.629397605714126e-05
z0_fit,6.295127896016606e-05
Thr3,5.4874860031406405e-05
Radius,3.4486857444826494e-05
ratioThr23,3.098200542055452e-05
lambda1,2.2281136135116064e-05
tSpread,1.4088097276010458e-05
lambda,8.10397976491739e-07
nTrackSegments,-4.774608428836924e-06
