feature,perm_importance
Begin,0.18514641910698512
pctHitsFirst10,0.10314505241754032
ratioThr23,0.04058900981683029
Zbary_thr2,0.029392156535942272
Thr3,0.01940865681094687
nClusters,0.011481858030967207
Density,0.008971816196936645
Zbary,0.006720112001866718
maxClustSize,0.005851764196069942
nLayersThr3,0.00470341172352875
Radius,0.004541742362372725
Zbary_thr3,0.004181736362272726
LayerMaxHits,0.0034650577509625414
Zrms,0.003061717695294952
planesWithClusmore2,0.0025933765562759616
nHitsTotal,0.002106701778362996
Thr3ShowerLength,0.0019150319171986618
avgClustSize,0.0016116935282255106
N2,0.0013516891948199493
Rmean,0.0010266837780629867
lambda2,0.0007400123335388975
sumThrTotal,0.0006666777779629985
Rskew,0.0005883431390523386
lambda1,0.0002916715278588167
RadiusThr3,0.0002833380556342857
Rrms,0.00020667011116856093
N3,0.00013333555559261746
