feature,perm_importance
ratioThr23,0.04403499999999999
Thr3,0.02823749999999998
Begin,0.02800499999999999
pctHitsFirst10,0.014547499999999968
nClusters,0.013504999999999979
Density,0.012844999999999973
Zbary,0.01247999999999998
maxClustSize,0.005547499999999972
Radius,0.003459999999999963
N2,0.002677499999999977
LayerMaxHits,0.0026149999999999785
Rmean,0.0019674999999999554
lambda2,0.0016374999999999806
Thr3ShowerLength,0.0014924999999999743
Rrms,0.0012224999999999597
planesWithClusmore2,0.0011024999999999618
Zbary_thr2,0.0010949999999999905
Zrms,0.0008574999999999777
Zbary_thr3,0.0007874999999999743
RadiusThr3,0.0005624999999999658
sumThrTotal,0.0004049999999999776
Rskew,0.0003349999999999631
lambda1,0.0003049999999999775
nLayersThr3,-0.00018999999999999017
N3,-0.00025250000000002213
avgClustSize,-0.0006475000000000008
nHitsTotal,-0.0007100000000000217
