E_low,E_high,N,precision_pi_minus,precision_proton
1.0,11.0,6090,0.5797291393621669,0.5369639568534597
11.0,21.0,6111,0.6662017666201767,0.5813131313131313
21.0,31.0,6197,0.664303586321935,0.5988418004738089
31.0,41.0,6115,0.6618947368421053,0.6106951871657754
41.0,51.0,6228,0.6306796116504855,0.6014234875444839
51.0,61.0,6145,0.6497152156224573,0.6086248982912937
61.0,71.0,6120,0.6625766871165644,0.601360544217687
71.0,81.0,6148,0.6475953565505804,0.5918094218415417
81.0,91.0,6166,0.6475701303832477,0.6096286107290234
91.0,101.0,6136,0.6311053984575835,0.5970541820094687
101.0,111.0,6126,0.6527538726333907,0.5907417148869016
111.0,121.0,6055,0.6524204099433057,0.599946836788942
