feature,perm_importance
tMin,0.48271923076923073
NClusters,0.04888717948717951
Begin,0.030855128205128236
PctHitsFirst10,0.013066666666666693
MaxClustSize,0.01120128205128208
Thr3,0.00471666666666668
Zbary,0.002949999999999997
PlanesWithClusmore2,0.00275000000000003
Density,0.0025153846153846415
Radius,0.0023820512820513116
Zbary_thr3,0.0022717948717948856
Zbary_thr2,0.0019910256410256566
AvgClustSize,0.00193589743589746
Zrms,0.0009192307692308055
Thr1,0.00029358974358978385
tMax,0.0002269230769231134
tSpread,0.0001602564102564208
tMean,0.00015256410256413443
ratioThr23,4.48717948718258e-05
Thr2,-5.256410256407884e-05
