,Thr1,Thr2,Thr3,Begin,Radius,Density,NClusters,ratioThr23,Zbary,Zrms,PctHitsFirst10,PlanesWithClusmore2,AvgClustSize,MaxClustSize,lambda1,lambda2,Nmax,z0_fit,Xmax,lambda,nTrackSegments,eccentricity3D
Thr1,1.0,-0.3667506933997844,-0.5844019652440485,0.028077008444383742,0.006027612979817414,-0.49354541724660034,-0.22746422213311732,-0.6919305579764673,-0.023183887053037335,0.17368036840276152,0.16087127214961,-0.261390545374295,-0.4640194602386465,-0.45234320706700754,0.18225863474745352,-0.034872607460359244,-0.008394461346274222,-0.06699476843708885,-0.01086275509820197,0.08315349558157041,-0.016519698294853148,-0.14659447328406283
Thr2,-0.3667506933997844,1.0,0.04861094510599383,-0.11151946309988078,0.24958779495794364,0.11916026552063698,0.2644681903995882,0.6252772475534013,-0.01222320800801437,-0.026442046555357944,-0.005081322866570479,0.31408785067339023,0.03755960355827866,0.18320836883687966,0.13758033427246327,0.28357611918221803,0.004724980436474293,0.08255563701035303,0.0011339652005073512,0.035985613826965065,0.06098542551359906,0.22710379606097963
Thr3,-0.5844019652440485,0.04861094510599383,1.0,-0.15949451594877515,-0.09559195125180893,0.8992265548948735,0.2140604198869065,0.7923141126293914,0.1593208706629353,-0.10262446147014113,-0.2046581992168586,0.25825389546542554,0.8671056999503697,0.6474855301687266,-0.32451915462809106,-0.09245283861223991,0.01076104231843071,0.05911327722927318,0.11378178046297584,0.004672406914382447,-0.006578187632541165,0.11618477158168748
Begin,0.028077008444383742,-0.11151946309988078,-0.15949451594877515,1.0,-0.09776344775672947,-0.28102673559227215,-0.31869583636834603,-0.15765647145891035,0.19116277675413149,-0.31515708454858476,-0.08467800774555763,-0.42722287460730907,-0.1188969552989241,-0.25081363091443337,0.019867816203812703,-0.22640552672717118,-0.007392429765430155,0.45028614392607275,-0.03334210462492985,-0.22967842199322067,-0.06979085668676731,0.031578205724940175
Radius,0.006027612979817414,0.24958779495794364,-0.09559195125180893,-0.09776344775672947,1.0,-0.03941165927230373,0.4058682847670826,0.05416806551884339,0.0954657918730917,0.24275441842945555,-0.1803832021672126,0.42869692437462475,-0.1875615707698095,0.14176969828017616,0.48852115509047955,0.5717737934839254,0.002043676424481355,0.14496069535797204,0.12107266348996648,0.1084303249364497,0.1645930998085615,0.16324415892444433
Density,-0.49354541724660034,0.11916026552063698,0.8992265548948735,-0.28102673559227215,-0.03941165927230373,1.0,0.3969997167991563,0.7500007483230041,0.26190568159767963,0.02561555144566318,-0.304219938181968,0.40918303240124826,0.8626837915621536,0.7735552477438365,-0.34585508678532956,0.001163884550215212,0.014291156332692066,0.02509698187191527,0.1944815928480845,0.04043126855375635,0.018768304587074455,0.11741922558323774
NClusters,-0.22746422213311732,0.2644681903995882,0.2140604198869065,-0.31869583636834603,0.4058682847670826,0.3969997167991563,1.0,0.3036403767580127,0.229146641153381,0.4115948136064315,-0.3394921998429475,0.8518579715993372,0.14447338157446912,0.6786704417244301,0.07498542898557817,0.5724482366003993,0.014256730584793051,-0.07680647835742088,0.2283206605493353,0.1317938956169445,0.14532403117658926,0.07431960749804466
ratioThr23,-0.6919305579764673,0.6252772475534013,0.7923141126293914,-0.15765647145891035,0.05416806551884339,0.7500007483230041,0.3036403767580127,1.0,0.098249431977167,-0.11549580742452595,-0.1457861579381208,0.36049342337636736,0.6976177365071744,0.601742795123176,-0.17904869746752794,0.07533646557601606,0.01097280797918337,0.10026204580093401,0.0718889994724161,0.014144772339550062,0.026664967620998802,0.22264962987231843
Zbary,-0.023183887053037335,-0.01222320800801437,0.1593208706629353,0.19116277675413149,0.0954657918730917,0.26190568159767963,0.229146641153381,0.098249431977167,1.0,0.3393833984687586,-0.8089882397456434,0.15907140066901185,0.2601487099611847,0.197556680164977,-0.19126305851515632,-0.03498662305019203,0.004496930132598249,0.3237890119754277,0.501126137259379,-0.15568519216027243,-0.03023742652529147,-0.1629509619022386
Zrms,0.17368036840276152,-0.026442046555357944,-0.10262446147014113,-0.31515708454858476,0.24275441842945555,0.02561555144566318,0.4115948136064315,-0.11549580742452595,0.3393833984687586,1.0,-0.2579609952356611,0.5562258509223619,-0.12325146123919567,0.08266718641499572,0.012676894512704939,0.15294879311593057,0.001093880185151196,-0.17260671963575974,0.14037204173936998,0.12324176228843636,0.02830000850219159,-0.6012163986012125
PctHitsFirst10,0.16087127214961,-0.005081322866570479,-0.2046581992168586,-0.08467800774555763,-0.1803832021672126,-0.304219938181968,-0.3394921998429475,-0.1457861579381208,-0.8089882397456434,-0.2579609952356611,1.0,-0.311294519271288,-0.24453929420351095,-0.2941771177872143,0.143969919148475,-0.08888066053290149,-0.006412494869795243,-0.3689077472805567,-0.6190149700787761,0.02939655886458391,-0.014249850417106334,0.07412339050045118
PlanesWithClusmore2,-0.261390545374295,0.31408785067339023,0.25825389546542554,-0.42722287460730907,0.42869692437462475,0.40918303240124826,0.8518579715993372,0.36049342337636736,0.15907140066901185,0.5562258509223619,-0.311294519271288,1.0,0.13727552198636891,0.5692153469151232,0.0546818552267383,0.5048487280951947,0.010526497240544424,-0.10127732716408887,0.18880876630682533,0.15287800803291038,0.12737818344523466,-0.08330584646559232
AvgClustSize,-0.4640194602386465,0.03755960355827866,0.8671056999503697,-0.1188969552989241,-0.1875615707698095,0.8626837915621536,0.14447338157446912,0.6976177365071744,0.2601487099611847,-0.12325146123919567,-0.24453929420351095,0.13727552198636891,1.0,0.6243977962701074,-0.4097884984299534,-0.19917302686719768,0.010548687649716833,0.0482087638986742,0.15090794044003075,-0.02444669699475456,-0.045520256449032,0.08707580431698651
MaxClustSize,-0.45234320706700754,0.18320836883687966,0.6474855301687266,-0.25081363091443337,0.14176969828017616,0.7735552477438365,0.6786704417244301,0.601742795123176,0.197556680164977,0.08266718641499572,-0.2941771177872143,0.5692153469151232,0.6243977962701074,1.0,-0.14798362996881068,0.2778712363268761,0.018738236411859767,-0.01832173815200125,0.17712394715139906,0.07156299956752825,0.08032810830277994,0.20475855711495275
lambda1,0.18225863474745352,0.13758033427246327,-0.32451915462809106,0.019867816203812703,0.48852115509047955,-0.34585508678532956,0.07498542898557817,-0.17904869746752794,-0.19126305851515632,0.012676894512704939,0.143969919148475,0.0546818552267383,-0.4097884984299534,-0.14798362996881068,1.0,0.48621768950277894,-0.002179642554804887,-0.016946723469514792,-0.094601533369157,0.054681075373083844,0.2302550231171869,0.16748729242459723
lambda2,-0.034872607460359244,0.28357611918221803,-0.09245283861223991,-0.22640552672717118,0.5717737934839254,0.001163884550215212,0.5724482366003993,0.07533646557601606,-0.03498662305019203,0.15294879311593057,-0.08888066053290149,0.5048487280951947,-0.19917302686719768,0.2778712363268761,0.48621768950277894,1.0,0.005851467371561276,-0.026231057209156732,0.05801595315772298,0.10050568799642257,0.23999411573139334,0.5104487078611373
Nmax,-0.008394461346274222,0.004724980436474293,0.01076104231843071,-0.007392429765430155,0.002043676424481355,0.014291156332692066,0.014256730584793051,0.01097280797918337,0.004496930132598249,0.001093880185151196,-0.006412494869795243,0.010526497240544424,0.010548687649716833,0.018738236411859767,-0.002179642554804887,0.005851467371561276,1.0,-0.00165991968087938,-0.002576066005735741,-0.007706127197217269,0.004112767383262877,0.0034744373943281057
z0_fit,-0.06699476843708885,0.08255563701035303,0.05911327722927318,0.45028614392607275,0.14496069535797204,0.02509698187191527,-0.07680647835742088,0.10026204580093401,0.3237890119754277,-0.17260671963575974,-0.3689077472805567,-0.10127732716408887,0.0482087638986742,-0.01832173815200125,-0.016946723469514792,-0.026231057209156732,-0.00165991968087938,1.0,0.42541394416630585,0.10831274027649863,-0.02421500248808821,0.13303850835830971
Xmax,-0.01086275509820197,0.0011339652005073512,0.11378178046297584,-0.03334210462492985,0.12107266348996648,0.1944815928480845,0.2283206605493353,0.0718889994724161,0.501126137259379,0.14037204173936998,-0.6190149700787761,0.18880876630682533,0.15090794044003075,0.17712394715139906,-0.094601533369157,0.05801595315772298,-0.002576066005735741,0.42541394416630585,1.0,0.196238166066515,0.005009526107648126,-0.05890344032326683
lambda,0.08315349558157041,0.035985613826965065,0.004672406914382447,-0.22967842199322067,0.1084303249364497,0.04043126855375635,0.1317938956169445,0.014144772339550062,-0.15568519216027243,0.12324176228843636,0.02939655886458391,0.15287800803291038,-0.02444669699475456,0.07156299956752825,0.054681075373083844,0.10050568799642257,-0.007706127197217269,0.10831274027649863,0.196238166066515,1.0,0.030566143804594496,-0.049454005906356575
nTrackSegments,-0.016519698294853148,0.06098542551359906,-0.006578187632541165,-0.06979085668676731,0.1645930998085615,0.018768304587074455,0.14532403117658926,0.026664967620998802,-0.03023742652529147,0.02830000850219159,-0.014249850417106334,0.12737818344523466,-0.045520256449032,0.08032810830277994,0.2302550231171869,0.23999411573139334,0.004112767383262877,-0.02421500248808821,0.005009526107648126,0.030566143804594496,1.0,0.11489975684250794
eccentricity3D,-0.14659447328406283,0.22710379606097963,0.11618477158168748,0.031578205724940175,0.16324415892444433,0.11741922558323774,0.07431960749804466,0.22264962987231843,-0.1629509619022386,-0.6012163986012125,0.07412339050045118,-0.08330584646559232,0.08707580431698651,0.20475855711495275,0.16748729242459723,0.5104487078611373,0.0034744373943281057,0.13303850835830971,-0.05890344032326683,-0.049454005906356575,0.11489975684250794,1.0
