feature,mean_importance,std_importance
PctHitsFirst10,0.10916025641025635,0.0009595063997855757
z0_fit,0.10557692307692301,0.0008654368455273369
Begin,0.05074230769230762,0.0008849024060565095
NClusters,0.028002564102564076,0.0010571412706016226
Density,0.020519230769230713,0.0011715065851963722
Nmax,0.01979487179487175,0.0009154420724623658
Thr3,0.014187179487179458,0.0010092308995205217
PlanesWithClusmore2,0.012499999999999956,0.0004740470214722694
Zbary,0.010808974358974321,0.0007859392635374345
AvgClustSize,0.0091141025641025,0.0007926239929590405
Radius,0.005167948717948656,0.0005674854856847558
MaxClustSize,0.005117948717948651,0.0005625795290407756
Thr1,0.004007692307692256,0.0005946617666367504
Zrms,0.0038961538461537936,0.0003777789863460546
lambda2,0.002926923076923016,0.000668047140738232
Xmax,0.0021141025641025156,0.0003522002784786151
lambda1,0.0011858974358973872,0.00035414563692059276
ratioThr23,0.0011858974358973761,0.00038449784528770705
Thr2,0.0004128205128204554,0.00046433624942622797
lambda,0.00023461538461533316,0.0001377295466045295
eccentricity3D,0.00022948717948713117,0.0005623355190888368
nTrackSegments,-0.0002782051282051778,0.00014918692632903495
