feature,gain_importance
Thr3,61343.81535863876
Density,26107.68886899948
meanRadius,16331.810811519623
NClusters,13094.649681568146
Nmax,7160.565406799316
Zbary,6696.121995925903
nMipCluster,5466.793906211853
PctHitsFirst10,4664.688076972961
lambda2,4590.279737234116
MaxClustSize,3939.1611251831055
tMean,3802.2130200862885
Zrms,3719.6019496917725
AvgClustSize,3223.762595176697
Xmax,3189.30802154541
first5LayersRMS,2707.089932203293
Begin,2628.8018827438354
lambda1,2546.8541338443756
tMax,2254.8041338920593
eccentricity3D,2249.7164726257324
Thr2,2114.661214828491
tMin,1847.9216763973236
Thr1,1763.6326723098755
transverseRatio,1755.6644010543823
nTrack,1438.8124527931213
ratioThr23,1234.3571083545685
tSpread,783.2109863758087
