run_id,comment
1,"Run 1: acc=0.8970, auc=0.9843"
2,"Run 2: acc=0.8970, auc=0.9843"
3,"Run 3: acc=0.8970, auc=0.9843"
4,"Run 4: acc=0.8970, auc=0.9843"
5,"Run 5: acc=0.8970, auc=0.9843"
6,"Run 6: acc=0.8970, auc=0.9843"
7,"Run 7: acc=0.8997, auc=0.9848"
8,"Run 8: acc=0.6767, auc=0.8533, mlogloss=0.6127"
9,"Run 9: acc=0.6778, auc=0.8532, mlogloss=0.6130"
10,"Run 10: acc=0.6778, auc=0.8532, mlogloss=0.6130"
11,"Run 11: acc=0.6778, auc=0.8532, mlogloss=0.6130"
12,"Run 12: acc=0.6504, auc=0.8358, mlogloss=0.6872"
13,"Run 13: acc=0.9251, auc=0.9831, blogloss=0.1547"
15,"Run 15: acc=0.6105, auc=0.6529, blogloss=0.6481"
16,"Run 16: acc=0.6100, auc=0.6553, blogloss=0.6468"
17,"Run 17: acc=0.6122, auc=0.6564, blogloss=0.6463"
19,"Run 19: acc=0.6124, auc=0.6570, blogloss=0.6461"
21,"Run 21: acc=0.6123, auc=0.6532, blogloss=0.6459"
22,"Run 22: acc=0.6965, auc=0.7685, blogloss=0.5497"
25,"Run 25: t*=0.354, acc@t*=0.5932, auc=0.6687, blogloss=0.6386"
26,"Run 26: acc=0.6103, auc=0.6559, blogloss=0.6465"
27,"Run 27: acc=0.6103, auc=0.6559, blogloss=0.6465"
28,"Run 28: acc=0.6131, auc=0.6571, blogloss=0.6454"
29,"Run 29: acc=0.6131, auc=0.6573, blogloss=0.6453"
30,"Run 30: acc=0.6131, auc=0.6573, blogloss=0.6453"
31,"Run 31: acc=0.6131, auc=0.6573, blogloss=0.6453"
