run_id,test_loss,test_acc,test_auc
18,0.8011297535896301,0.55,0.545925
20,0.7254814434051514,0.4975,0.54255
25,0.6909416103363037,0.535,0.5488999999999999
27,0.7524231243133545,0.5375,0.53535
28,0.7015939764976501,0.57125,0.644181
31,0.7524231243133545,0.5375,0.53535
32,0.6947154426574706,0.5225,0.5672
36,0.6816566038131714,0.545,0.575925
38,0.6910749220848084,0.495,0.579475
39,0.748012113571167,0.5325,0.545625
41,0.6937028360366821,0.5275,0.568775
47,0.6924677729606629,0.5475,0.587375
62,9.960521911125397e-06,1.0
67,0.6938904372851054,0.625
