run_id,date,data_num,nb_features,nb_classes,mode,time_window,hidden_dim,batch_size,lr,epochs,seed,patience
1,2025_07_21-10_16,2k,7,2,route,2.0,256,64,0.001,50,42,10
2,2025_07_21-10_20,2k,7,2,route,2.0,256,64,0.001,50,42,10
3,2025_07_21-10_21,2k,7,2,route,2.0,256,64,0.001,50,42,10
4,2025_07_21-10_23,2k,7,2,route,2.0,256,64,0.001,50,42,10
5,2025_07_21-10_27,2k,7,2,route,2.0,256,64,0.001,50,42,10
6,2025_07_21-10_27,2k,7,2,route,2.0,256,64,0.001,50,42,10
7,2025_07_21-10_29,2k,7,2,route,2.0,256,64,0.001,50,42,10
8,2025_07_21-10_38,2k,7,2,route,2.0,256,64,0.001,50,42,10
9,2025_07_21-10_38,2k,7,2,route,2.0,256,64,0.001,50,42,10
10,2025_07_21-10_45,2k,7,2,route,2.0,256,64,0.001,50,42,10
11,2025_07_21-10_55,2k,7,2,route,2.0,256,64,0.001,50,42,10
12,2025_07_21-10_56,2k,7,2,route,2.0,256,64,0.001,50,42,10
13,2025_07_21-11_01,2k,7,2,route,2.0,256,64,0.001,50,42,10
14,2025_07_21-11_02,2k,7,2,route,2.0,256,64,0.001,50,42,10
15,2025_07_21-11_04,2k,7,2,route,2.0,256,64,0.001,50,42,10
16,2025_07_21-11_07,2k,7,2,route,2.0,256,64,0.001,50,42,10
17,2025_07_21-11_37,2k,7,2,route,2.0,256,64,0.001,50,42,10
18,2025_07_21-11_42,2k,7,2,route,2.0,256,64,0.001,50,42,10
19,2025_07_21-12_01,2k,7,2,route,2.0,256,64,0.001,50,42,10
20,2025_07_21-12_03,2k,7,2,route,2.0,256,64,0.001,50,42,10
21,2025_07_21-12_19,2k,7,2,route,2.0,256,64,0.001,50,42,10
22,2025_07_21-12_20,2k,7,2,route,2.0,256,64,0.001,50,42,10
23,2025_07_21-12_24,2k,7,2,route,2.0,256,64,0.001,50,42,10
24,2025_07_21-12_33,2k,7,2,route,2.0,256,64,0.001,50,42,10
25,2025_07_21-12_37,2k,7,2,route,2.0,256,64,0.001,50,42,10
26,2025_07_21-13_01,2k,7,2,route,2.0,256,64,0.001,50,42,10
27,2025_07_21-13_21,2k,7,2,route,2.0,256,64,0.001,50,42,10
28,2025_07_21-14_50,2k,7,2,route,2.0,256,64,0.001,50,42,10
29,2025_07_22-10_54,20k,7,2,route,2.0,256,64,0.001,50,42,10
30,2025_07_22-10_55,20k,7,2,route,2.0,256,64,0.001,50,42,10
31,2025_07_22-10_55,20k,7,2,route,2.0,256,64,0.001,50,42,10
32,2025_07_22-11_13,20k,7,2,time,2.0,256,64,0.001,50,42,10
33,2025_07_22-11_28,20k,7,2,time,2.0,256,64,0.001,50,42,10
34,2025_07_22-11_42,20k,7,2,time,1.0,256,64,0.001,50,42,10
35,2025_07_22-11_58,2k,7,2,time,2.0,256,64,0.001,50,42,10
36,2025_07_22-12_01,2k,7,2,time,2.0,256,64,0.001,50,42,10
37,2025_07_22-12_17,20k,7,2,time,5.0,256,64,0.001,50,42,10
38,2025_07_22-12_36,20k,7,2,time,5.0,256,64,0.001,50,42,10
39,2025_07_22-12_53,20k,7,2,time,3.0,256,64,0.001,50,42,10
40,2025_07_22-14_18,2k,7,2,time,3.0,256,64,0.001,50,42,10
41,2025_07_22-14_33,2k,7,2,time,2.0,256,64,0.001,50,42,10
42,2025_07_22-15_51,2k,7,2,time,2.0,256,64,0.001,50,42,10
43,2025_07_22-16_12,2k,7,2,time,2.0,256,64,0.001,50,42,10
44,2025_07_22-16_16,2k,7,2,time,2.0,256,64,0.001,50,42,10
45,2025_07_22-16_40,2k,7,2,time,2.0,256,64,0.001,50,42,10
46,2025_07_22-16_43,2k,8,2,time,2.0,256,64,0.001,50,42,10
47,2025_07_22-16_49,2k,8,2,route,2.0,256,64,0.001,50,42,10
48,2025_07_22-17_05,2k,8,2,route,2.0,256,64,0.001,50,42,10
49,2025_07_22-17_11,2k,8,2,time,2.0,256,64,0.001,50,42,10
50,2025_07_23-10_12,2k,7,2,route,2.0,256,64,0.0001,50,42,10
51,2025_07_23-10_12,2k,7,2,route,2.0,256,64,0.0001,50,42,10
52,2025_07_23-10_13,2k,7,2,route,2.0,256,64,0.0001,50,42,10
53,2025_07_23-10_15,2k,7,2,route,2.0,256,64,0.0001,50,42,10
54,2025_07_23-10_20,2k,7,2,route,2.0,256,64,0.0001,50,42,10
55,2025_07_23-10_45,2k,8,2,route,2.0,256,64,0.001,50,42,10
56,2025_07_23-11_01,2k,8,2,route,2.0,64,64,0.001,50,42,10
57,2025_07_23-11_10,2k,8,2,route,2.0,64,64,0.001,50,42,10
58,2025_07_23-11_30,2k,8,2,route,2.0,64,64,0.001,50,42,10
59,2025_07_23-11_50,20k,7,3,route,2.0,64,64,0.001,50,42,10
60,2025_07_23-11_52,20k,7,3,route,2.0,64,64,0.001,50,42,10
61,2025_07_23-11_55,20k,7,3,route,2.0,64,64,0.001,50,42,10
62,2025_07_23-12_06,20k,7,3,route,2.0,64,64,0.001,50,42,10
63,2025_07_23-12_20,20k,7,3,route,2.0,64,64,0.001,50,42,10
64,2025_07_23-12_29,20k,7,3,route,2.0,64,64,0.001,50,42,10
65,2025_07_23-12_33,20k,7,3,route,2.0,64,64,0.001,50,42,10
66,2025_07_23-13_23,20k,7,3,route,2.0,64,64,0.001,50,42,10
67,2025_07_23-14_36,20k,7,3,route,2.0,64,64,0.001,50,42,10
