feature,importance_permutation
avgClustSize,0.1798863314388573
ratioThr23,0.028078801313355228
nClusters,0.02318205303421724
Density,0.021503691728195495
planesWithClusmore2,0.016800280004666768
Thr3,0.013370222837047308
nLayersThr3,0.011811863531058875
nHitsTotal,0.008281804696744966
sumThrTotal,0.0054917581959699315
Zbary,0.005210086834780614
maxClustSize,0.004176736278937998
Rmean,0.0035183919731995527
pctHitsFirst10,0.0021533692228203893
LayerMaxHits,0.0020717011950199147
Zrms,0.0014616910281838203
Thr3ShowerLength,0.0011200186669778178
Begin,0.00100001666694447
Rrms,0.0009116818613643773
RadiusThr3,0.0005166752779212968
Radius,0.00041334022233703306
lambda1,0.00034000566676112287
Rskew,0.0
lambda2,-3.500058334303669e-05
