feature,importance_permutation
Zbary,0.23157435897435902
Zbary_thr2,0.1763705128205129
Begin,0.1633166666666667
Zbary_thr3,0.08878717948717953
nClusters,0.0821410256410257
pctHitsFirst10,0.06614871794871802
Zrms,0.061974358974359
nLayersThr3,0.05056666666666672
ratioThr23,0.04272820512820515
planesWithClusmore2,0.0387641025641026
Density,0.028689743589743622
Thr3,0.02034230769230776
LayerMaxHits,0.02034230769230775
maxClustSize,0.013506410256410317
avgClustSize,0.012151282051282086
Radius,0.011887179487179534
