,Begin,Thr3,Density,Radius,nClusters,nLayersThr3,planesWithClusmore2,avgClustSize,maxClustSize,pctHitsFirst10,LayerMaxHits,Zrms,Zbary,ratioThr23,Zbary_thr3,Zbary_thr2
Begin,1.0,-0.1594945159487752,-0.3061530479994967,-0.09776344775672947,-0.31869583636834603,-0.3248476506134368,-0.42722287460730907,-0.1188969552989241,-0.25081363091443337,-0.08467800774555763,0.19183954299087536,-0.31515708454858476,0.19116277675413149,-0.0997720704022471,0.17395673493171757,0.17894840592122505
Thr3,-0.1594945159487752,1.0,0.8666440373855725,-0.09559195125180893,0.2140604198869065,0.4753799565684793,0.25825389546542554,0.8671056999503697,0.6474855301687266,-0.2046581992168586,0.11067120106741393,-0.10262446147014113,0.1593208706629353,0.33648967852240136,0.12541751511519147,0.12904622089010687
Density,-0.3061530479994967,0.8666440373855725,1.0,-0.0027315716501603578,0.43448588131404897,0.5979411614823354,0.45320131779008255,0.8145948977448029,0.7716344064754682,-0.3094573878085348,0.172431153926562,0.05388688316807074,0.2585605827853923,0.4104600434761528,0.18798976557735828,0.22557013585458954
Radius,-0.09776344775672947,-0.09559195125180893,-0.0027315716501603578,1.0,0.4058682847670826,0.3117930601417271,0.42869692437462475,-0.1875615707698095,0.14176969828017616,-0.1803832021672126,-0.0020291042794416923,0.24275441842945555,0.0954657918730917,0.12810747970933756,0.03598079159120316,0.042314598965586495
nClusters,-0.31869583636834603,0.2140604198869065,0.43448588131404897,0.4058682847670826,1.0,0.8606750303002825,0.8518579715993372,0.14447338157446912,0.6786704417244301,-0.3394921998429475,0.06124410283351292,0.4115948136064315,0.229146641153381,0.4001021740723865,0.09458649045770398,0.17134854780977135
nLayersThr3,-0.3248476506134368,0.4753799565684793,0.5979411614823354,0.3117930601417271,0.8606750303002825,1.0,0.8462807889669286,0.39762621090956335,0.6650408772268226,-0.383843401000912,0.1245738139665258,0.435246085762768,0.29159742074636036,0.4369886022396998,0.17064793057242134,0.22873842720491505
planesWithClusmore2,-0.42722287460730907,0.25825389546542554,0.45320131779008255,0.42869692437462475,0.8518579715993372,0.8462807889669286,1.0,0.13727552198636891,0.5692153469151232,-0.3112945192712881,-0.03076127329481849,0.5562258509223618,0.1590714006690118,0.38229044326924116,0.01818681446818186,0.0910420657383745
avgClustSize,-0.1188969552989241,0.8671056999503697,0.8145948977448029,-0.1875615707698095,0.14447338157446912,0.39762621090956335,0.13727552198636891,1.0,0.6243977962701074,-0.24453929420351095,0.2339945716042612,-0.12325146123919567,0.2601487099611847,0.3142388666269294,0.23715502231321098,0.246425415497794
maxClustSize,-0.25081363091443337,0.6474855301687266,0.7716344064754682,0.14176969828017616,0.6786704417244301,0.6650408772268226,0.5692153469151232,0.6243977962701074,1.0,-0.2941771177872143,0.07659810536960489,0.08266718641499579,0.19755668016497693,0.42708589203465247,0.10140883741794718,0.15726386113918542
pctHitsFirst10,-0.08467800774555763,-0.2046581992168586,-0.3094573878085348,-0.1803832021672126,-0.3394921998429475,-0.383843401000912,-0.3112945192712881,-0.24453929420351095,-0.2941771177872143,1.0,-0.6671893175803695,-0.2579609952356611,-0.8089882397456435,-0.27321261454517626,-0.7309113602923561,-0.7825638444412998
LayerMaxHits,0.19183954299087536,0.11067120106741393,0.172431153926562,-0.0020291042794416923,0.06124410283351292,0.1245738139665258,-0.03076127329481849,0.2339945716042612,0.07659810536960489,-0.6671893175803695,1.0,0.19850066614905124,0.8617944134773707,0.13136832703203308,0.8749979775815754,0.86813602469654
Zrms,-0.31515708454858476,-0.10262446147014113,0.05388688316807074,0.24275441842945555,0.4115948136064315,0.435246085762768,0.5562258509223618,-0.12325146123919567,0.08266718641499579,-0.2579609952356611,0.19850066614905124,1.0,0.33938339846875865,0.13568768255304928,0.2891074345713593,0.3574270413682576
Zbary,0.19116277675413149,0.1593208706629353,0.2585605827853923,0.0954657918730917,0.229146641153381,0.29159742074636036,0.1590714006690118,0.2601487099611847,0.19755668016497693,-0.8089882397456435,0.8617944134773707,0.33938339846875865,1.0,0.22860608658577802,0.9379409744451728,0.983199414763799
ratioThr23,-0.0997720704022471,0.33648967852240136,0.4104600434761528,0.12810747970933756,0.4001021740723865,0.4369886022396998,0.38229044326924116,0.3142388666269294,0.42708589203465247,-0.27321261454517626,0.13136832703203308,0.13568768255304928,0.22860608658577802,1.0,0.15166964650765605,0.19250144503703334
Zbary_thr3,0.17395673493171757,0.12541751511519147,0.18798976557735828,0.03598079159120316,0.09458649045770398,0.17064793057242134,0.01818681446818186,0.23715502231321098,0.10140883741794718,-0.7309113602923561,0.8749979775815754,0.2891074345713593,0.9379409744451728,0.15166964650765605,1.0,0.9400470730664751
Zbary_thr2,0.17894840592122505,0.12904622089010687,0.22557013585458954,0.042314598965586495,0.17134854780977135,0.22873842720491505,0.0910420657383745,0.246425415497794,0.15726386113918542,-0.7825638444412998,0.86813602469654,0.3574270413682576,0.983199414763799,0.19250144503703334,0.9400470730664751,1.0
