feature,importance_weight
Begin,0.5381125276658181
Zbary,0.4807643166292387
Zbary_thr2,0.322189148626076
pctHitsFirst10,0.301736345509462
Zbary_thr3,0.30025657974065023
nClusters,0.21175734694561985
Zrms,0.20541622462318854
planesWithClusmore2,0.1984607975551852
LayerMaxHits,0.17912909916531639
avgClustSize,0.15836394783145594
Density,0.15557130122767077
nLayersThr3,0.1520419331000585
ratioThr23,0.14753075258676326
maxClustSize,0.14118531431676293
Thr3,0.12828023646949777
Radius,0.12435765629514063
