feature,importance_permutation
Zbary,0.2399115384615385
Zbary_thr2,0.16902564102564105
Begin,0.15723205128205126
Zbary_thr3,0.10560769230769232
nClusters,0.08486794871794874
pctHitsFirst10,0.05801025641025641
Zrms,0.05334615384615384
nLayersThr3,0.046110256410256414
ratioThr23,0.03931538461538464
planesWithClusmore2,0.035699999999999996
Density,0.024164102564102573
Thr3,0.020528205128205145
LayerMaxHits,0.013697435897435894
maxClustSize,0.013138461538461566
avgClustSize,0.011302564102564116
Radius,0.01104615384615385
