feature,importance
avgClustSize,0.22542342323820094
maxClustSize,0.159873710661638
planesWithClusmore2,0.15902541017053132
Thr3ShowerLength,0.10792361129613494
Begin,0.03523727100282382
pctHitsFirst10,0.03223774013811839
ratioThr23,0.030279078637897142
Thr3,0.029131649283893665
Density,0.02338171302201725
Rmean,0.01928885002434707
lambda2,0.01791404175928629
Radius,0.01682913065928707
nClusters,0.015346392539485644
Zrms,0.015205217692619866
Zbary,0.01510754929462391
lambda1,0.014808892466045522
RadiusThr3,0.013939454294098977
Rrms,0.013683061406410195
sumThrTotal,0.013442284755146808
nHitsTotal,0.013423297965326455
Rskew,0.010799335177046647
LayerMaxHits,0.009393321431287582
nLayersThr3,0.008305563083732453
