feature,perm_importance
avgClustSize,0.09062984383073051
maxClustSize,0.028147135785596432
ratioThr23,0.025005416756945942
Thr3,0.015303588393139889
nClusters,0.007133452224203729
Density,0.006120102001700034
nHitsTotal,0.0015350255837597304
Zbary,0.001521692028200472
pctHitsFirst10,0.0014266904448407502
sumThrTotal,0.0013316888614810286
LayerMaxHits,0.0012866881114685258
Zrms,0.0010850180836347255
nLayersThr3,0.0009600160002666835
lambda2,0.00088668144469074
Radius,0.0008383473057884449
Rmean,0.000685011416856951
lambda1,0.0005716761946032544
Rskew,0.00029167152785879446
Rrms,0.0002500041667361064
RadiusThr3,0.0001900031667194435
Thr3ShowerLength,0.00017833630560509794
Begin,0.00014333572226203905
planesWithClusmore2,-6.500108335141252e-05
