PDG_true,label_true_int,label_true,E_true_GeV,label_pred_int,label_pred,proba_pred,proba_pi,proba_proton,proba_kaon,E_pred_GeV,dE_over_E
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,19.85269,-0.0073655127
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,19.914093,-0.004295349
2212,1,p,30.0,1,p,1.0,0.0,1.0,0.0,25.584414,-0.14718622
2212,1,p,50.0,1,p,1.0,0.0,1.0,0.0,44.79512,-0.1040976
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,20.070665,0.0035332679
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,74.34922,-0.070634745
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,44.70262,-0.10594757
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,73.93422,0.056203134
-211,0,π-,10.0,0,π-,1.0,1.0,0.0,0.0,10.88417,0.08841696
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,94.15962,0.046218023
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,88.94242,-0.11057579
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,21.810017,0.09050083
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,49.924065,0.6641355
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,52.316315,0.046326295
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,39.447018,-0.013824558
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,38.07877,-0.048030756
2212,1,p,80.0,1,p,1.0,0.0,1.0,0.0,80.649414,0.008117676
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,36.810535,-0.07973661
2212,1,p,60.0,1,p,1.0,0.0,1.0,0.0,63.972626,0.06621043
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,36.849506,-0.07876234
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,69.35769,-0.009175872
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,40.362812,0.34542707
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,68.118965,-0.14851293
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,73.366356,-0.08292055
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,67.13353,-0.2540719
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,21.284689,0.06423445
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,47.991352,-0.040172957
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,26.155455,-0.1281515
2212,1,p,10.0,1,p,1.0,0.0,1.0,0.0,9.210473,-0.07895269
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,54.25409,0.085081786
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,69.84457,-0.0022204807
2212,1,p,90.0,1,p,1.0,0.0,1.0,0.0,92.621254,0.029125044
2212,1,p,10.0,1,p,1.0,0.0,1.0,0.0,10.130393,0.013039303
311,2,K0,60.0,2,K0,1.0,0.0,0.0,1.0,59.148975,-0.014183744
2212,1,p,10.0,1,p,1.0,0.0,1.0,0.0,9.826472,-0.017352771
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,96.730484,-0.03269516
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,64.404465,-0.07993622
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,97.81066,-0.021893388
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,20.602083,0.03010416
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,22.833462,0.14167309
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,28.872177,-0.037594095
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,66.2972,-0.0528971
2212,1,p,40.0,1,p,1.0,0.0,1.0,0.0,38.2838,-0.042905044
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,97.56606,0.08406737
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,49.514942,-0.009701157
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,46.602684,0.1650671
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,80.106346,0.0013293267
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,16.85141,-0.1574295
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,25.26738,0.263369
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,33.41121,-0.5823599
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,62.333164,-0.109526224
-211,0,π-,60.0,0,π-,1.0,1.0,0.0,0.0,72.99726,0.21662101
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,103.30001,0.033000108
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,21.024624,0.051231194
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,32.748737,0.09162458
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,63.656124,-0.0906268
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,21.980051,0.099002555
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,29.220636,-0.025978787
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,62.964962,-0.10050055
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,19.552523,-0.022373866
-211,0,π-,10.0,0,π-,1.0,1.0,0.0,0.0,11.494735,0.14947347
-211,0,π-,10.0,0,π-,1.0,1.0,0.0,0.0,8.511561,-0.14884385
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,28.796673,0.43983364
2212,1,p,80.0,1,p,1.0,0.0,1.0,0.0,39.873943,-0.5015757
2212,1,p,90.0,1,p,1.0,0.0,1.0,0.0,101.69179,0.12990876
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,102.75397,0.027539672
-211,0,π-,30.0,0,π-,1.0,1.0,0.0,0.0,33.079224,0.102640785
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,67.12599,-0.04105726
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,36.801674,-0.4742618
-211,0,π-,30.0,0,π-,1.0,1.0,0.0,0.0,33.19819,0.10660629
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,109.138466,0.21264961
311,2,K0,60.0,2,K0,1.0,0.0,0.0,1.0,59.07214,-0.015464338
2212,1,p,40.0,1,p,1.0,0.0,1.0,0.0,46.191048,0.15477619
-211,0,π-,80.0,0,π-,1.0,1.0,0.0,0.0,90.39578,0.12994727
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,48.57096,-0.02858078
311,2,K0,100.0,2,K0,1.0,0.0,0.0,1.0,116.37124,0.16371238
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,94.96425,0.055158317
2212,1,p,90.0,1,p,1.0,0.0,1.0,0.0,97.7092,0.08565775
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,87.229095,-0.030787827
2212,1,p,30.0,1,p,1.0,0.0,1.0,0.0,35.436428,0.18121427
2212,1,p,50.0,1,p,1.0,0.0,1.0,0.0,42.312546,-0.15374908
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,62.449276,-0.10786749
2212,1,p,50.0,1,p,1.0,0.0,1.0,0.0,62.27914,0.2455828
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,49.928486,-0.0014302826
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,93.36704,0.037411585
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,89.17943,-0.10820572
2212,1,p,30.0,1,p,1.0,0.0,1.0,0.0,28.92781,-0.035739645
-211,0,π-,30.0,0,π-,1.0,1.0,0.0,0.0,27.175428,-0.09415238
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,94.38312,0.04870131
311,2,K0,10.0,2,K0,1.0,0.0,0.0,1.0,10.036011,0.0036010742
311,2,K0,100.0,2,K0,1.0,0.0,0.0,1.0,99.1767,-0.008233032
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,51.195663,0.02391327
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,97.01115,-0.029888535
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,98.80874,0.09787487
2212,1,p,80.0,1,p,1.0,0.0,1.0,0.0,85.6803,0.07100372
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,91.536316,0.14420395
311,2,K0,40.0,2,K0,1.0,0.0,0.0,1.0,43.288982,0.08222456
2212,1,p,50.0,1,p,1.0,0.0,1.0,0.0,47.37199,-0.052560195
2212,1,p,90.0,1,p,1.0,0.0,1.0,0.0,86.20512,-0.042165376
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,19.597881,-0.020105934
2212,1,p,50.0,1,p,1.0,0.0,1.0,0.0,56.243275,0.124865495
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,90.27625,0.003069475
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,35.383305,-0.11541738
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,20.849722,0.042486094
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,20.329226,0.016461277
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,87.46526,-0.12534736
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,22.932207,0.14661035
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,106.51732,0.18352577
311,2,K0,10.0,2,K0,1.0,0.0,0.0,1.0,8.849962,-0.11500378
-211,0,π-,60.0,0,π-,1.0,1.0,0.0,0.0,61.841976,0.030699603
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,84.56213,-0.060420737
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,113.53178,0.13531776
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,81.27334,0.1610477
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,77.88148,0.11259253
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,87.43214,-0.028531816
2212,1,p,40.0,1,p,1.0,0.0,1.0,0.0,39.602825,-0.009929371
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,68.27687,-0.024616132
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,64.366974,-0.0804718
-211,0,π-,30.0,0,π-,1.0,1.0,0.0,0.0,10.289366,-0.65702116
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,24.937355,0.24686775
2212,1,p,80.0,1,p,1.0,0.0,1.0,0.0,76.75808,-0.040524006
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,95.980156,-0.04019844
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,67.46761,-0.036176953
-211,0,π-,60.0,0,π-,1.0,1.0,0.0,0.0,59.417965,-0.009700584
311,2,K0,60.0,2,K0,1.0,0.0,0.0,1.0,57.761353,-0.03731079
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,76.71528,-0.14760801
-211,0,π-,80.0,0,π-,1.0,1.0,0.0,0.0,74.127914,-0.07340107
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,19.04318,-0.047840975
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,14.711958,-0.2644021
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,72.23473,0.031924766
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,53.699116,0.07398231
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,18.554964,-0.0722518
-211,0,π-,80.0,0,π-,1.0,1.0,0.0,0.0,85.300766,0.06625958
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,66.762184,-0.046254512
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,52.346634,0.04693268
-211,0,π-,60.0,0,π-,1.0,1.0,0.0,0.0,64.600685,0.07667808
-211,0,π-,30.0,0,π-,1.0,1.0,0.0,0.0,30.56551,0.018850327
311,2,K0,100.0,2,K0,1.0,0.0,0.0,1.0,113.61025,0.13610253
2212,1,p,30.0,1,p,1.0,0.0,1.0,0.0,34.63681,0.15456034
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,18.494743,-0.07526283
311,2,K0,60.0,2,K0,1.0,0.0,0.0,1.0,63.727303,0.062121708
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,72.67763,0.03825182
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,82.90189,-0.078867845
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,68.3069,-0.024187142
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,40.320576,0.008014393
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,117.64981,0.17649812
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,50.806038,0.016120758
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,52.104202,0.042084046
311,2,K0,100.0,2,K0,1.0,0.0,0.0,1.0,102.850586,0.02850586
2212,1,p,10.0,1,p,1.0,0.0,1.0,0.0,8.591021,-0.14089794
2212,1,p,10.0,1,p,1.0,0.0,1.0,0.0,12.778007,0.27780065
2212,1,p,80.0,1,p,1.0,0.0,1.0,0.0,79.47947,-0.006506634
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,65.196815,-0.06861692
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,100.0243,0.00024299622
311,2,K0,40.0,2,K0,1.0,0.0,0.0,1.0,69.007065,0.72517663
-211,0,π-,80.0,0,π-,1.0,1.0,0.0,0.0,78.362885,-0.020463943
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,49.005398,-0.019892044
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,18.66943,-0.066528514
311,2,K0,100.0,2,K0,1.0,0.0,0.0,1.0,87.771614,-0.12228386
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,19.12967,-0.04351654
2212,1,p,40.0,1,p,1.0,0.0,1.0,0.0,42.200504,0.055012606
311,2,K0,100.0,2,K0,1.0,0.0,0.0,1.0,106.36505,0.06365051
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,16.647928,-0.6670415
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,86.594,-0.037844423
-211,0,π-,60.0,0,π-,1.0,1.0,0.0,0.0,48.258812,-0.19568647
