PDG_true,label_true_int,label_true,E_true_GeV,label_pred_int,label_pred,proba_pred,proba_pi,proba_proton,proba_kaon,E_pred_GeV,dE_over_E
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,21.287926,0.064396285
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,20.49238,0.024619007
2212,1,p,30.0,1,p,1.0,0.0,1.0,0.0,26.063606,-0.13121313
2212,1,p,50.0,1,p,1.0,0.0,1.0,0.0,43.752693,-0.12494614
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,19.176945,-0.041152764
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,79.70151,-0.0037311553
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,40.497066,-0.19005866
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,64.07165,-0.08469075
-211,0,π-,10.0,0,π-,1.0,1.0,0.0,0.0,10.505202,0.05052023
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,90.28302,0.0031446668
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,83.44437,-0.16555634
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,22.342947,0.11714735
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,29.66322,-0.011226018
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,47.57308,-0.048538435
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,25.512743,-0.36218143
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,33.967194,-0.15082017
2212,1,p,80.0,1,p,1.0,0.0,1.0,0.0,84.998566,0.06248207
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,35.75336,-0.10616598
2212,1,p,60.0,1,p,1.0,0.0,1.0,0.0,61.641106,0.027351761
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,35.63666,-0.10908346
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,69.84008,-0.0022845678
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,6.8692675,-0.77102447
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,63.659397,-0.20425753
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,75.82361,-0.052204896
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,22.603771,-0.74884695
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,22.148466,0.107423306
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,44.715572,-0.10568855
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,26.74522,-0.10849266
2212,1,p,10.0,1,p,1.0,0.0,1.0,0.0,8.579261,-0.14207391
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,55.538963,0.11077926
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,67.170334,-0.040423803
2212,1,p,90.0,1,p,1.0,0.0,1.0,0.0,90.562325,0.0062480504
2212,1,p,10.0,1,p,1.0,0.0,1.0,0.0,10.746777,0.07467766
311,2,K0,60.0,2,K0,1.0,0.0,0.0,1.0,56.99965,-0.05000585
2212,1,p,10.0,1,p,1.0,0.0,1.0,0.0,8.651089,-0.13489112
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,92.94343,-0.07056572
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,60.279484,-0.13886452
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,93.947044,-0.060529556
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,20.550644,0.027532196
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,22.520912,0.12604561
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,29.108564,-0.029714521
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,72.3669,0.03381282
2212,1,p,40.0,1,p,1.0,0.0,1.0,0.0,38.890156,-0.027746106
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,93.51401,0.03904453
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,49.373833,-0.012523346
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,47.73716,0.193429
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,83.06522,0.038315296
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,16.260355,-0.18698224
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,28.193436,0.40967178
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,28.463717,-0.64420354
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,61.408157,-0.12274061
-211,0,π-,60.0,0,π-,1.0,1.0,0.0,0.0,64.35212,0.07253532
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,102.21817,0.0221817
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,18.57858,-0.071070954
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,31.323025,0.044100825
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,63.420364,-0.0939948
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,21.536366,0.07681827
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,26.390577,-0.12031409
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,58.817955,-0.1597435
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,22.172691,0.10863457
-211,0,π-,10.0,0,π-,1.0,1.0,0.0,0.0,11.137009,0.11370087
-211,0,π-,10.0,0,π-,1.0,1.0,0.0,0.0,9.908613,-0.009138679
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,22.035837,0.10179186
2212,1,p,80.0,1,p,1.0,0.0,1.0,0.0,28.38491,-0.6451886
2212,1,p,90.0,1,p,1.0,0.0,1.0,0.0,96.976326,0.07751473
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,99.36874,-0.006312637
-211,0,π-,30.0,0,π-,1.0,1.0,0.0,0.0,35.221973,0.17406578
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,48.92991,-0.3010013
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,33.96275,-0.5148179
-211,0,π-,30.0,0,π-,1.0,1.0,0.0,0.0,32.04361,0.06812032
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,99.713684,0.107929826
311,2,K0,60.0,2,K0,1.0,0.0,0.0,1.0,53.892136,-0.10179774
2212,1,p,40.0,1,p,1.0,0.0,1.0,0.0,46.07572,0.15189305
-211,0,π-,80.0,0,π-,1.0,1.0,0.0,0.0,90.80367,0.13504592
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,22.543192,-0.54913616
311,2,K0,100.0,2,K0,1.0,0.0,0.0,1.0,117.06326,0.17063263
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,93.10888,0.0345431
2212,1,p,90.0,1,p,1.0,0.0,1.0,0.0,94.81424,0.05349155
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,77.15754,-0.14269401
2212,1,p,30.0,1,p,1.0,0.0,1.0,0.0,34.85209,0.1617363
2212,1,p,50.0,1,p,1.0,0.0,1.0,0.0,40.426514,-0.19146973
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,60.526947,-0.13532932
2212,1,p,50.0,1,p,1.0,0.0,1.0,0.0,54.757294,0.095145874
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,50.63712,0.012742386
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,82.52867,-0.083014764
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,6.5903378,-0.9340966
2212,1,p,30.0,1,p,1.0,0.0,1.0,0.0,29.17116,-0.027628008
-211,0,π-,30.0,0,π-,1.0,1.0,0.0,0.0,27.649689,-0.07834371
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,93.18142,0.035349105
311,2,K0,10.0,2,K0,1.0,0.0,0.0,1.0,9.013145,-0.09868546
311,2,K0,100.0,2,K0,1.0,0.0,0.0,1.0,95.8217,-0.04178299
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,47.206825,-0.055863496
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,94.19361,-0.058063887
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,96.65216,0.073912896
2212,1,p,80.0,1,p,1.0,0.0,1.0,0.0,84.13285,0.051660635
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,81.83865,0.02298317
311,2,K0,40.0,2,K0,1.0,0.0,0.0,1.0,41.81189,0.045297243
2212,1,p,50.0,1,p,1.0,0.0,1.0,0.0,45.42261,-0.09154777
2212,1,p,90.0,1,p,1.0,0.0,1.0,0.0,85.418884,-0.050901286
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,18.245058,-0.0877471
2212,1,p,50.0,1,p,1.0,0.0,1.0,0.0,54.085674,0.08171348
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,89.27291,-0.008078766
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,37.158867,-0.07102833
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,18.498547,-0.07507267
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,18.480877,-0.07595615
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,80.243256,-0.19756745
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,22.864532,0.14322662
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,102.531975,0.13924417
311,2,K0,10.0,2,K0,1.0,0.0,0.0,1.0,7.8197784,-0.21802215
-211,0,π-,60.0,0,π-,1.0,1.0,0.0,0.0,55.898495,-0.06835842
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,86.361984,-0.0404224
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,107.18394,0.07183937
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,80.91414,0.15591627
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,77.584785,0.10835408
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,85.919716,-0.04533649
2212,1,p,40.0,1,p,1.0,0.0,1.0,0.0,37.631523,-0.05921192
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,68.712944,-0.018386513
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,61.573288,-0.1203816
-211,0,π-,30.0,0,π-,1.0,1.0,0.0,0.0,10.149747,-0.66167516
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,25.167175,0.25835878
2212,1,p,80.0,1,p,1.0,0.0,1.0,0.0,63.081062,-0.21148673
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,94.260376,-0.05739624
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,67.71445,-0.032650758
-211,0,π-,60.0,0,π-,1.0,1.0,0.0,0.0,53.26811,-0.1121982
311,2,K0,60.0,2,K0,1.0,0.0,0.0,1.0,56.434326,-0.0594279
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,76.805534,-0.14660518
-211,0,π-,80.0,0,π-,1.0,1.0,0.0,0.0,69.55034,-0.13062076
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,18.317223,-0.08413887
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,11.039236,-0.4480382
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,56.582253,-0.1916821
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,54.609997,0.09219994
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,19.082859,-0.04585705
-211,0,π-,80.0,0,π-,1.0,1.0,0.0,0.0,84.90789,0.06134863
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,53.382954,-0.23738638
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,50.81778,0.01635559
-211,0,π-,60.0,0,π-,1.0,1.0,0.0,0.0,66.00923,0.100153856
-211,0,π-,30.0,0,π-,1.0,1.0,0.0,0.0,23.54261,-0.21524633
311,2,K0,100.0,2,K0,1.0,0.0,0.0,1.0,110.87946,0.10879463
2212,1,p,30.0,1,p,1.0,0.0,1.0,0.0,32.926926,0.09756419
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,16.6946,-0.16527005
311,2,K0,60.0,2,K0,1.0,0.0,0.0,1.0,59.197678,-0.013372039
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,71.35944,0.019420624
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,79.27263,-0.11919301
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,67.5896,-0.034434292
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,40.09269,0.002317238
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,104.92255,0.049225464
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,47.40237,-0.05195259
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,52.693638,0.053872757
311,2,K0,100.0,2,K0,1.0,0.0,0.0,1.0,99.62657,-0.0037342834
2212,1,p,10.0,1,p,1.0,0.0,1.0,0.0,8.0706625,-0.19293375
