PDG_true,label_true_int,label_true,E_true_GeV,label_pred_int,label_pred,proba_pred,proba_pi,proba_proton,proba_kaon,E_pred_GeV,dE_over_E
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,21.200277,0.060013868
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,19.959347,-0.0020326613
2212,1,p,30.0,1,p,1.0,0.0,1.0,0.0,24.459845,-0.18467185
2212,1,p,50.0,1,p,1.0,0.0,1.0,0.0,41.928234,-0.16143532
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,18.57201,-0.071399495
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,79.49885,-0.0062644007
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,40.353695,-0.19292611
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,63.697838,-0.090030886
-211,0,π-,10.0,0,π-,1.0,1.0,0.0,0.0,10.505202,0.05052023
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,90.28302,0.0031446668
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,83.44437,-0.16555634
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,21.934843,0.09674215
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,28.753149,-0.0415617
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,47.57308,-0.048538435
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,25.512743,-0.36218143
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,33.967194,-0.15082017
2212,1,p,80.0,1,p,1.0,0.0,1.0,0.0,87.95199,0.09939985
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,35.75336,-0.10616598
2212,1,p,60.0,1,p,1.0,0.0,1.0,0.0,60.559025,0.0093170805
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,35.63666,-0.10908346
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,69.84008,-0.0022845678
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,6.2226386,-0.7925787
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,63.503487,-0.20620641
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,75.16525,-0.06043434
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,21.264704,-0.7637255
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,22.154963,0.10774813
-211,0,π-,50.0,0,π-,1.0,1.0,0.0,0.0,44.715572,-0.10568855
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,26.33909,-0.122030325
2212,1,p,10.0,1,p,1.0,0.0,1.0,0.0,7.830582,-0.21694179
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,55.12076,0.102415234
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,64.287155,-0.08161207
2212,1,p,90.0,1,p,1.0,0.0,1.0,0.0,91.445244,0.016058264
2212,1,p,10.0,1,p,1.0,0.0,1.0,0.0,9.854565,-0.014543533
311,2,K0,60.0,2,K0,1.0,0.0,0.0,1.0,56.54069,-0.057655144
2212,1,p,10.0,1,p,1.0,0.0,1.0,0.0,7.933941,-0.20660591
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,88.91848,-0.1108152
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,56.307854,-0.19560209
-211,0,π-,100.0,0,π-,1.0,1.0,0.0,0.0,93.947044,-0.060529556
2212,1,p,20.0,1,p,1.0,0.0,1.0,0.0,19.1214,-0.043929957
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,22.520912,0.12604561
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,27.832886,-0.07223714
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,72.01611,0.028801618
2212,1,p,40.0,1,p,1.0,0.0,1.0,0.0,37.67251,-0.058187295
-211,0,π-,90.0,0,π-,1.0,1.0,0.0,0.0,93.51401,0.03904453
311,2,K0,50.0,2,K0,1.0,0.0,0.0,1.0,49.06363,-0.018727416
-211,0,π-,40.0,0,π-,1.0,1.0,0.0,0.0,47.73716,0.193429
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,82.915504,0.036443807
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,15.506915,-0.22465424
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,27.233225,0.36166126
311,2,K0,80.0,2,K0,1.0,0.0,0.0,1.0,27.558004,-0.6555249
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,60.05874,-0.14201802
-211,0,π-,60.0,0,π-,1.0,1.0,0.0,0.0,64.35212,0.07253532
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,103.20265,0.032026518
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,18.57858,-0.071070954
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,31.004948,0.033498254
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,62.879757,-0.101717755
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,21.536366,0.07681827
311,2,K0,30.0,2,K0,1.0,0.0,0.0,1.0,25.78915,-0.14036165
2212,1,p,70.0,1,p,1.0,0.0,1.0,0.0,61.06556,-0.12763487
-211,0,π-,20.0,0,π-,1.0,1.0,0.0,0.0,22.172691,0.10863457
-211,0,π-,10.0,0,π-,1.0,1.0,0.0,0.0,11.137009,0.11370087
-211,0,π-,10.0,0,π-,1.0,1.0,0.0,0.0,9.908613,-0.009138679
311,2,K0,20.0,2,K0,1.0,0.0,0.0,1.0,21.351145,0.06755724
2212,1,p,80.0,1,p,1.0,0.0,1.0,0.0,26.297935,-0.6712758
2212,1,p,90.0,1,p,1.0,0.0,1.0,0.0,98.4503,0.09389225
2212,1,p,100.0,1,p,1.0,0.0,1.0,0.0,99.60672,-0.0039328
-211,0,π-,30.0,0,π-,1.0,1.0,0.0,0.0,35.221973,0.17406578
-211,0,π-,70.0,0,π-,1.0,1.0,0.0,0.0,48.92991,-0.3010013
311,2,K0,70.0,2,K0,1.0,0.0,0.0,1.0,33.303566,-0.5242348
-211,0,π-,30.0,0,π-,1.0,1.0,0.0,0.0,32.04361,0.06812032
311,2,K0,90.0,2,K0,1.0,0.0,0.0,1.0,99.72916,0.10810174
311,2,K0,60.0,2,K0,1.0,0.0,0.0,1.0,53.57682,-0.107053
2212,1,p,40.0,1,p,1.0,0.0,1.0,0.0,45.67748,0.14193697
