PDG_true,label_true_int,label_true,E_true_GeV,label_pred_int,label_pred,proba_pred,proba_pi,proba_proton,proba_kaon,E_pred_GeV,dE_over_E
311,2,K0,20.0,0,π-,0.4977528134926077,0.4977528134926077,0.279201852372315,0.22304533413507727,19.796534,-0.010173321
2212,1,p,20.0,0,π-,0.6028268841877767,0.6028268841877767,0.376917525053165,0.02025559075905822,20.123041,0.0061520576
2212,1,p,30.0,1,p,0.4753916023369275,0.40718852836711716,0.4753916023369275,0.11741986929595528,25.584414,-0.14718622
2212,1,p,50.0,1,p,0.558301057980216,0.2545754885498119,0.558301057980216,0.18712345346997208,44.79512,-0.1040976
311,2,K0,20.0,1,p,0.5549246588743165,0.4108130574932328,0.5549246588743165,0.03426228363245075,20.00087,4.3487547e-05
311,2,K0,80.0,0,π-,0.48780655905208353,0.48780655905208353,0.4121141601934066,0.10007928075450988,75.30574,-0.058678247
311,2,K0,50.0,1,p,0.5031861381219352,0.2613872729444735,0.5031861381219352,0.23542658893359136,44.272686,-0.11454628
311,2,K0,70.0,2,K0,0.9999222408099875,3.7205817000416044e-05,4.055337301204211e-05,0.9999222408099875,73.93422,0.056203134
-211,0,π-,10.0,0,π-,0.4341375148963085,0.4341375148963085,0.39523408840277263,0.17062839670091884,10.826198,0.082619764
-211,0,π-,90.0,0,π-,0.597295508827229,0.597295508827229,0.23280152775568133,0.16990296341708958,93.67911,0.040878974
-211,0,π-,100.0,0,π-,0.5571824204596797,0.5571824204596797,0.44019305531876,0.0026245242215603335,88.74405,-0.11255951
2212,1,p,20.0,0,π-,0.5032320058879748,0.5032320058879748,0.3786239552840777,0.1181440388279475,20.070452,0.0035225868
311,2,K0,30.0,2,K0,0.9998496431052323,6.411652024891812e-05,8.624037451878372e-05,0.9998496431052323,49.924065,0.6641355
-211,0,π-,50.0,0,π-,0.6974972275690879,0.6974972275690879,0.298528441082854,0.003974331348058136,52.255093,0.04510185
-211,0,π-,40.0,0,π-,0.5147919086761015,0.5147919086761015,0.4817774321726786,0.003430659151219848,38.96119,-0.025970269
-211,0,π-,40.0,0,π-,0.8083874065205114,0.8083874065205114,0.19018598864027847,0.00142660483921,37.203716,-0.06990709
2212,1,p,80.0,0,π-,0.44670026988378075,0.44670026988378075,0.4367311292117281,0.11656860090449106,79.59414,-0.0050732614
-211,0,π-,40.0,0,π-,0.6996834931416461,0.6996834931416461,0.2982483346826434,0.002068172175710508,37.271484,-0.06821289
2212,1,p,60.0,1,p,0.5639531222819612,0.40203881573001116,0.5639531222819612,0.03400806198802765,63.964005,0.06606674
-211,0,π-,40.0,1,p,0.521075535751126,0.47695598849464804,0.521075535751126,0.0019684757542260288,36.454494,-0.088637635
-211,0,π-,70.0,0,π-,0.605361937862225,0.605361937862225,0.385798417264213,0.008839644873562,69.35769,-0.009175872
311,2,K0,30.0,2,K0,0.9998488761191202,6.21782060158466e-05,8.894567486399483e-05,0.9998488761191202,40.362812,0.34542707
311,2,K0,80.0,2,K0,0.9999020427090926,3.9043077687215675e-05,5.8914213220120175e-05,0.9999020427090926,68.118965,-0.14851293
311,2,K0,80.0,2,K0,0.9241241309234143,0.03659867176452883,0.039277197312056915,0.9241241309234143,73.366356,-0.08292055
311,2,K0,90.0,2,K0,0.9998933667961443,4.8737077700129606e-05,5.7896126155628244e-05,0.9998933667961443,67.13353,-0.2540719
2212,1,p,20.0,0,π-,0.6701914064951682,0.6701914064951682,0.2994187118620178,0.030389881642814205,20.096937,0.004846859
-211,0,π-,50.0,0,π-,0.9670172099366766,0.9670172099366766,0.03145100884611173,0.0015317812172114676,47.868954,-0.042620927
311,2,K0,30.0,2,K0,0.9996468093598897,0.00017866518896472592,0.00017452545114557576,0.9996468093598897,26.155455,-0.1281515
2212,1,p,10.0,1,p,0.5539368827957191,0.42221777836739194,0.5539368827957191,0.023845338836889017,9.214824,-0.07851763
311,2,K0,50.0,2,K0,0.9373487780211702,0.030255348094075707,0.03239587388475409,0.9373487780211702,54.25409,0.085081786
2212,1,p,70.0,1,p,0.4569009303760585,0.26832602418308565,0.4569009303760585,0.27477304544085573,69.84457,-0.0022204807
2212,1,p,90.0,1,p,0.4519537518381201,0.30770414629299686,0.4519537518381201,0.24034210186888313,92.68274,0.029808214
2212,1,p,10.0,1,p,0.5442210682888121,0.44170692894201713,0.5442210682888121,0.014072002769170786,10.178967,0.017896747
311,2,K0,60.0,2,K0,0.9997489543421935,0.00012065342950021802,0.0001303922283062588,0.9997489543421935,58.624523,-0.022924613
2212,1,p,10.0,1,p,0.4697385130131748,0.34191913312678424,0.4697385130131748,0.18834235386004108,9.90162,-0.009838009
2212,1,p,100.0,1,p,0.5015366158967706,0.32433575506246265,0.5015366158967706,0.17412762904076678,96.79302,-0.03206978
2212,1,p,70.0,1,p,0.5440670044712848,0.26790477157821524,0.5440670044712848,0.18802822395050003,64.404465,-0.07993622
-211,0,π-,100.0,1,p,0.5538924288873116,0.4443789783901072,0.5538924288873116,0.0017285927225812222,97.37528,-0.026247177
2212,1,p,20.0,1,p,0.5769317917757473,0.4178843459464841,0.5769317917757473,0.0051838622777686475,20.376549,0.018827438
-211,0,π-,20.0,0,π-,0.800858478836202,0.800858478836202,0.18370421126954972,0.015437309894248213,22.618044,0.1309022
311,2,K0,30.0,2,K0,0.9990972549630931,0.0006005519494926277,0.0003021930874142947,0.9990972549630931,28.872177,-0.037594095
311,2,K0,70.0,0,π-,0.4155069144632481,0.4155069144632481,0.2722684690261768,0.3122246165105752,65.684456,-0.06165063
2212,1,p,40.0,2,K0,0.5155960932195089,0.11144679595068072,0.3729571108298104,0.5155960932195089,39.301754,-0.01745615
-211,0,π-,90.0,0,π-,0.6758742860659388,0.6758742860659388,0.32262769997883317,0.0014980139552280374,97.56606,0.08406737
311,2,K0,50.0,2,K0,0.9991777089176551,0.0003839722409781336,0.0004383188413666885,0.9991777089176551,49.514942,-0.009701157
-211,0,π-,40.0,1,p,0.5644909045172865,0.4172429912682821,0.5644909045172865,0.018266104214431488,47.721394,0.19303484
311,2,K0,80.0,1,p,0.5093738283359963,0.2861808730755443,0.5093738283359963,0.2044452985884595,80.85423,0.0106779095
311,2,K0,20.0,2,K0,0.999931946636644,3.0044922727115902e-05,3.800844062880623e-05,0.999931946636644,16.85141,-0.1574295
311,2,K0,20.0,0,π-,0.6765097935950445,0.6765097935950445,0.18716609395325484,0.13632411245170065,24.496162,0.22480813
311,2,K0,80.0,2,K0,0.9999323840062616,3.004531676481062e-05,3.7570676973714955e-05,0.9999323840062616,33.17053,-0.5853684
311,2,K0,70.0,2,K0,0.9988185951998687,0.000640747830892142,0.000540656969239186,0.9988185951998687,62.333164,-0.109526224
-211,0,π-,60.0,0,π-,0.537491445209501,0.537491445209501,0.4608629999233836,0.0016455548671154947,72.8242,0.21373673
2212,1,p,100.0,1,p,0.5132334728285436,0.48480446713476255,0.5132334728285436,0.001962060036693978,103.75493,0.037549287
-211,0,π-,20.0,1,p,0.5724194419827241,0.42114472465009695,0.5724194419827241,0.006435833367179059,21.036875,0.05184374
311,2,K0,30.0,2,K0,0.9997787715163122,8.397971370539641e-05,0.0001372487699824773,0.9997787715163122,32.748737,0.09162458
2212,1,p,70.0,1,p,0.5960521975325214,0.32344918271046286,0.5960521975325214,0.08049861975701585,63.659454,-0.09057923
-211,0,π-,20.0,0,π-,0.5617823145175931,0.5617823145175931,0.24229910973491697,0.19591857574748994,21.978205,0.098910235
311,2,K0,30.0,2,K0,0.9991579697829948,0.0003542701491011269,0.0004877600679040715,0.9991579697829948,29.31192,-0.022935994
