PDG_true,label_true_int,label_true,E_true_GeV,label_pred_int,label_pred,proba_pred,proba_pi,proba_proton,proba_kaon,E_pred_GeV,dE_over_E
311,2,K0,20.0,0,π-,0.5081056147424865,0.5081056147424865,0.28358185176740264,0.2083125334901108,21.200277,0.060013868
2212,1,p,20.0,0,π-,0.5987717192904822,0.5987717192904822,0.38078288095429136,0.02044539975522635,19.959347,-0.0020326613
2212,1,p,30.0,1,p,0.4792146565648361,0.42270841901120165,0.4792146565648361,0.09807692442396236,26.063606,-0.13121313
2212,1,p,50.0,1,p,0.5723146662284577,0.2639738045513122,0.5723146662284577,0.16371152922023005,43.752693,-0.12494614
311,2,K0,20.0,2,K0,0.810111636463599,0.07468121276345814,0.11520715077294286,0.810111636463599,19.176945,-0.041152764
311,2,K0,80.0,2,K0,0.6739686466378959,0.16439376469709716,0.16163758866500685,0.6739686466378959,79.70151,-0.0037311553
311,2,K0,50.0,1,p,0.5120951557520539,0.2673441871335467,0.5120951557520539,0.22056065711439948,43.06971,-0.1386058
311,2,K0,70.0,2,K0,0.9999222408099875,3.7205817000416044e-05,4.055337301204211e-05,0.9999222408099875,64.07165,-0.08469075
-211,0,π-,10.0,0,π-,0.4345110707940232,0.4345110707940232,0.3947137144077542,0.17077521479822252,10.505202,0.05052023
-211,0,π-,90.0,0,π-,0.6052516884151296,0.6052516884151296,0.22742719125782695,0.1673211203270434,90.28302,0.0031446668
-211,0,π-,100.0,0,π-,0.5376095112256435,0.5376095112256435,0.46102529199656206,0.0013651967777944633,83.44437,-0.16555634
2212,1,p,20.0,0,π-,0.5450563978296183,0.5450563978296183,0.36456191705438223,0.09038168511599944,21.934843,0.09674215
311,2,K0,30.0,2,K0,0.9998496431052323,6.411652024891812e-05,8.624037451878372e-05,0.9998496431052323,29.66322,-0.011226018
-211,0,π-,50.0,0,π-,0.706860085786416,0.706860085786416,0.29046193118027064,0.0026779830333132863,47.57308,-0.048538435
-211,0,π-,40.0,0,π-,0.5090897083908038,0.5090897083908038,0.4882958944291032,0.0026143971800929727,25.512743,-0.36218143
-211,0,π-,40.0,0,π-,0.8075882902589068,0.8075882902589068,0.19098651514543302,0.0014251945956600621,33.967194,-0.15082017
2212,1,p,80.0,0,π-,0.45921927605348506,0.45921927605348506,0.4284677827385965,0.11231294120791845,87.95199,0.09939985
-211,0,π-,40.0,0,π-,0.6974878965211396,0.6974878965211396,0.30043424948361735,0.0020778539952429308,35.75336,-0.10616598
2212,1,p,60.0,1,p,0.5903297681451865,0.38544662250742573,0.5903297681451865,0.024223609347387865,61.641106,0.027351761
-211,0,π-,40.0,1,p,0.5205405709849737,0.47749124723623904,0.5205405709849737,0.0019681817787871566,36.477703,-0.08805742
-211,0,π-,70.0,0,π-,0.6046364092225543,0.6046364092225543,0.3849731026728784,0.010390488104567282,69.84008,-0.0022845678
311,2,K0,30.0,2,K0,0.9998488761191202,6.21782060158466e-05,8.894567486399483e-05,0.9998488761191202,6.8692675,-0.77102447
311,2,K0,80.0,2,K0,0.9999020427090926,3.9043077687215675e-05,5.8914213220120175e-05,0.9999020427090926,63.659397,-0.20425753
311,2,K0,80.0,2,K0,0.937459569654074,0.03114043927148136,0.03139999107444454,0.937459569654074,75.82361,-0.052204896
311,2,K0,90.0,2,K0,0.9998933667961443,4.8737077700129606e-05,5.7896126155628244e-05,0.9998933667961443,22.603771,-0.74884695
2212,1,p,20.0,0,π-,0.6657085766608087,0.6657085766608087,0.2862717528520962,0.04801967048709514,22.154963,0.10774813
-211,0,π-,50.0,0,π-,0.9665081292675982,0.9665081292675982,0.03201243683841414,0.0014794338939876242,44.715572,-0.10568855
311,2,K0,30.0,2,K0,0.9996468093598897,0.00017866518896472592,0.00017452545114557576,0.9996468093598897,26.74522,-0.10849266
2212,1,p,10.0,1,p,0.5409880910274072,0.4371356766399188,0.5409880910274072,0.02187623233267388,8.579261,-0.14207391
311,2,K0,50.0,2,K0,0.9235665455907475,0.03821800954283946,0.038215444866413144,0.9235665455907475,55.538963,0.11077926
2212,1,p,70.0,1,p,0.5416787173496977,0.25095503207054254,0.5416787173496977,0.20736625057975974,67.170334,-0.040423803
2212,1,p,90.0,1,p,0.44957223751370884,0.3071999850600773,0.44957223751370884,0.24322777742621388,90.562325,0.0062480504
2212,1,p,10.0,1,p,0.5433626781970524,0.4424897840217952,0.5433626781970524,0.014147537781152415,10.746777,0.07467766
311,2,K0,60.0,2,K0,0.9997489543421935,0.00012065342950021802,0.0001303922283062588,0.9997489543421935,56.99965,-0.05000585
2212,1,p,10.0,1,p,0.45477865931203126,0.3782274250390812,0.45477865931203126,0.16699391564888755,8.651089,-0.13489112
2212,1,p,100.0,1,p,0.6179953252162704,0.30844776801783513,0.6179953252162704,0.07355690676589441,92.94343,-0.07056572
2212,1,p,70.0,1,p,0.5443028167871256,0.26709479254571405,0.5443028167871256,0.1886023906671604,60.279484,-0.13886452
-211,0,π-,100.0,1,p,0.5536767384457609,0.4445938330670313,0.5536767384457609,0.0017294284872078234,94.34288,-0.056571197
2212,1,p,20.0,1,p,0.5785430072108606,0.4162934423850478,0.5785430072108606,0.005163550404091654,20.550644,0.027532196
-211,0,π-,20.0,0,π-,0.8106650824030163,0.8106650824030163,0.17787946650189035,0.011455451095093307,22.520912,0.12604561
311,2,K0,30.0,2,K0,0.9982572325477497,0.0014408284431712338,0.0003019390090791488,0.9982572325477497,29.108564,-0.029714521
311,2,K0,70.0,0,π-,0.41929034467914555,0.41929034467914555,0.28383918449951606,0.2968704708213385,72.01611,0.028801618
2212,1,p,40.0,2,K0,0.5692343109090977,0.1014277615992072,0.32933792749169516,0.5692343109090977,38.137535,-0.04656162
-211,0,π-,90.0,0,π-,0.6790365031157006,0.6790365031157006,0.31951494586115337,0.0014485510231459354,93.51401,0.03904453
311,2,K0,50.0,2,K0,0.9991777089176551,0.0003839722409781336,0.0004383188413666885,0.9991777089176551,49.373833,-0.012523346
-211,0,π-,40.0,1,p,0.5579265491310749,0.42448990621579163,0.5579265491310749,0.01758354465313356,47.572292,0.1893073
311,2,K0,80.0,1,p,0.5723759843273842,0.2796346717066939,0.5723759843273842,0.1479893439659219,82.40009,0.030001163
311,2,K0,20.0,2,K0,0.999931946636644,3.0044922727115902e-05,3.800844062880623e-05,0.999931946636644,16.260355,-0.18698224
311,2,K0,20.0,0,π-,0.7029867381628879,0.7029867381628879,0.18894461178486355,0.10806865005224849,27.233225,0.36166126
311,2,K0,80.0,2,K0,0.9999323840062616,3.004531676481062e-05,3.7570676973714955e-05,0.9999323840062616,28.463717,-0.64420354
311,2,K0,70.0,2,K0,0.9988185951998687,0.000640747830892142,0.000540656969239186,0.9988185951998687,61.408157,-0.12274061
-211,0,π-,60.0,0,π-,0.535958604692821,0.535958604692821,0.4626241291233859,0.0014172661837930551,64.35212,0.07253532
2212,1,p,100.0,1,p,0.531921885924842,0.46603630296151005,0.531921885924842,0.0020418111136479753,102.21817,0.0221817
-211,0,π-,20.0,1,p,0.5725565579405625,0.4212456046308834,0.5725565579405625,0.006197837428554154,20.34267,0.017133523
311,2,K0,30.0,2,K0,0.9997787715163122,8.397971370539641e-05,0.0001372487699824773,0.9997787715163122,31.323025,0.044100825
2212,1,p,70.0,1,p,0.5970687207454394,0.324276943453845,0.5970687207454394,0.07865433580071567,63.420364,-0.0939948
-211,0,π-,20.0,0,π-,0.5504076501805633,0.5504076501805633,0.2344593967444489,0.21513295307498775,21.536366,0.07681827
311,2,K0,30.0,2,K0,0.998647520463738,0.0008649686549752078,0.0004875108812867877,0.998647520463738,26.390577,-0.12031409
2212,1,p,70.0,0,π-,0.6138600760114205,0.6138600760114205,0.38449549550996737,0.0016444284786121832,61.06556,-0.12763487
-211,0,π-,20.0,0,π-,0.971575344306811,0.971575344306811,0.026148219601580203,0.002276436091608767,22.172691,0.10863457
-211,0,π-,10.0,1,p,0.48239092732037686,0.40056793939945395,0.48239092732037686,0.11704113328016916,11.516828,0.15168276
-211,0,π-,10.0,0,π-,0.6177910252809051,0.6177910252809051,0.3655526198803437,0.016656354838751143,9.908613,-0.009138679
311,2,K0,20.0,2,K0,0.9999175463171591,3.713707382327089e-05,4.5316609017724046e-05,0.9999175463171591,22.035837,0.10179186
2212,1,p,80.0,1,p,0.5302545122240917,0.46765007535116576,0.5302545122240917,0.002095412424742617,28.38491,-0.6451886
2212,1,p,90.0,1,p,0.520614557937875,0.23469367094340324,0.520614557937875,0.2446917711187218,96.976326,0.07751473
2212,1,p,100.0,1,p,0.5934003377726458,0.3321545806947844,0.5934003377726458,0.07444508153256978,99.36874,-0.006312637
-211,0,π-,30.0,0,π-,0.5916858019688404,0.5916858019688404,0.33812032774800915,0.07019387028315047,35.221973,0.17406578
-211,0,π-,70.0,0,π-,0.6758989534765577,0.6758989534765577,0.3226663225828278,0.0014347239406144864,48.92991,-0.3010013
311,2,K0,70.0,2,K0,0.9997393662432992,0.00011841539511333383,0.00014221836158750847,0.9997393662432992,33.96275,-0.5148179
-211,0,π-,30.0,0,π-,0.9818006065817839,0.9818006065817839,0.01087228323305513,0.007327110185160932,32.04361,0.06812032
311,2,K0,90.0,0,π-,0.46396101422476005,0.46396101422476005,0.15654891620445627,0.37949006957078363,99.72916,0.10810174
311,2,K0,60.0,2,K0,0.9999192203441057,3.6556345776072936e-05,4.4223310118190086e-05,0.9999192203441057,53.892136,-0.10179774
